Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
10107,277b,"MET-NO2","D","North District Secondary","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10108,277c,"MET-NO3","DE","North District Secure Operations","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10109,277d,"MET-ED1","D","East District Primary ","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10110,277e,"MET-ED2","D","East District Secondary ","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10111,277f,"MET-ED3","DE","East District Secure Operations ","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10112,2780,"MET-SE1","D","Southeast District Primary","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10113,2781,"MET-SE2","D","Southeast District Secondary","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10114,2782,"MET-SE3","DE","Southeast District Secure Operations","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10115,2783,"MET-SW1","D","Southwest District Primary","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10116,2784,"MET-SW2","D","Southwest District Secondary","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10117,2785,"MET-SW3","DE","Southwest District Secure Operations","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10118,2786,"MET-CD1","D","Downtown District Primary","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10119,2787,"MET-CD2","D","Downtown District Secondary","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10120,2788,"MET-CD3","DE","Downtown District Secure Operations","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10121,2789,"MET-IN1","D","Investigations Dispatch","Law Dispatch","Indianapolis Metropolitan Police Department (IMPD)"
10122,278a,"MET-IN2","D","Investigations 2","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10123,278b,"MET-IN3","DE","Investigations 3","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10124,278c,"MET-DT1","D","Data Inquiry 1","Law Talk","Indianapolis Metropolitan Police Department (IMPD)"
10125,278d,"MET-DT2","D","Data Inquiry 2","Law Talk","Indianapolis Metropolitan Police Department (IMPD)"
10126,278e,"MET-TF1","D","Traffic 1","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10127,278f,"MET-TF2","D","Traffic 2","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10128,2790,"MET-TN1","D","Training 1","Law Talk","Indianapolis Metropolitan Police Department (IMPD)"
10129,2791,"MET-TN2","D","Training 2","Law Talk","Indianapolis Metropolitan Police Department (IMPD)"
10130,2792,"MET-HQ","D","Headquarters ","Law Talk","Indianapolis Metropolitan Police Department (IMPD)"
10134,2796,"MET-PO","DE","Public Information Officers","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10135,2797,"MET-IA","DE","Internal Affairs ","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10136,2798,"MET-MYR","DE","Mayoral Protection Detail","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10137,2799,"MET-SO1","DE","Countywide Special Operations 1 - ERT Main","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10138,279a,"MET-SO2","DE","Countywide Special Operations 2 - ERT Hostage Negotiation Team","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10139,279b,"MET-SO3","DE","Countywide Special Operations 3 - ERT Explosives Ordinance Removal","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10140,279c,"MET-SO4","DE","Countywide Special Operations 4 ","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10141,279d,"MET-SO5","DE","Countywide Special Operations 5","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10142,279e,"MET-SO6","DE","Countywide Special Operations 6","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10143,279f,"MET-SO7","DE","Countywide Special Operations 7","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10144,27a0,"MET-CO1","DE","Covert Operations 1","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10145,27a1,"MET-CO2","DE","Covert Operations 2","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10146,27a2,"MET-CO3","DE","Covert Operations 3","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10147,27a3,"MET-CO4","DE","Covert Operations 4","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10148,27a4,"MET-CO 5","DE","Covert Operations 5","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10149,27a5,"MET-CO6","DE","Covert Operations 6","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10150,27a6,"MET-DR1","DE","Drug Task Force 1","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10151,27a7,"MET-DR2","DE","Drug Task Force 2","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10152,27a8,"MET-DR3","DE","Drug Task Force 3","Law Tac","Indianapolis Metropolitan Police Department (IMPD)"
10202,27da,"49F-DISPATCH","D","Countywide Dispatch Primary","Fire Dispatch","Marion County Fire/EMS"
10203,27db,"49F-NORTH","D","Operations North","Fire-Tac","Marion County Fire/EMS"
10204,27dc,"49F-SOUTH","D","Operations South","Fire-Tac","Marion County Fire/EMS"
10205,27dd,"49F-OP 01","D","Operations 01","Fire-Tac","Marion County Fire/EMS"
10206,27de,"49F-OP 02","D","Operations 02","Fire-Tac","Marion County Fire/EMS"
10207,27df,"49F-OP 03","D","Operations 03","Fire-Tac","Marion County Fire/EMS"
10208,27e0,"49F-OP 04","D","Operations 04","Fire-Tac","Marion County Fire/EMS"
10209,27e1,"49F-OP 05","D","Operations 05","Fire-Tac","Marion County Fire/EMS"
10210,27e2,"49F-OP 06","D","Operations 06","Fire-Tac","Marion County Fire/EMS"
10211,27e3,"49F-OP 07","D","Operations 07","Fire-Tac","Marion County Fire/EMS"
10212,27e4,"49F-OP 08","D","Operations 08","Fire-Tac","Marion County Fire/EMS"
10213,27e5,"49F-OP 09","D","Operations 09","Fire-Tac","Marion County Fire/EMS"
10214,27e6,"49F-OP 10","D","Operations 10","Fire-Tac","Marion County Fire/EMS"
10215,27e7,"49F-OP 11","D","Operations 11","Fire-Tac","Marion County Fire/EMS"
10216,27e8,"49F-OP 12","D","Operations 12","Fire-Tac","Marion County Fire/EMS"
10217,27e9,"49F-OP 13","D","Operations 13","Fire-Tac","Marion County Fire/EMS"
10218,27ea,"49F-OP 14","D","Operations 14","Fire-Tac","Marion County Fire/EMS"
10219,27eb,"49F-OP 15","D","Operations 15","Fire-Tac","Marion County Fire/EMS"
10220,27ec,"49F-OP 16","D","Operations 16","Fire-Tac","Marion County Fire/EMS"
10221,27ed,"49F-OP 17","D","Operations 17","Fire-Tac","Marion County Fire/EMS"
10222,27ee,"49F-OP 18","D","Operations 18","Fire-Tac","Marion County Fire/EMS"
10223,27ef,"49F-OP 19","D","Operations 19","Fire-Tac","Marion County Fire/EMS"
10224,27f0,"49F-OP 20","D","Operations 20","Fire-Tac","Marion County Fire/EMS"
10225,27f1,"49F-OP 21","D","Operations 21 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10226,27f2,"49F-OP 22","D","Operations 22 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10227,27f3,"49F-OP 23","D","Operations 23 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10228,27f4,"49F-OP 24","D","Operations 24 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10229,27f5,"49F-OP 25","D","Operations 25 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10230,27f6,"49F-OP 26","D","Operations 26 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10231,27f7,"49F-OP 27","D","Operations 27 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10232,27f8,"49F-OP 28","D","Operations 28 (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10233,27f9,"49F-OP 29","D","Operations 29  (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10234,27fa,"49F-OP 30","D","Operations 30  (Training/Reserve)","Fire-Talk","Marion County Fire/EMS"
10241,2801,"49F-CAR","D","Countywide Car-to-Car","Fire-Talk","Marion County Fire/EMS"
10244,2804,"49F-DISPATCH 2","D","Indianapolis Fire/EMS Dispatch Secondary","Fire Dispatch","Marion County Fire/EMS"
10254,280e,"IHERN-800","D","Countywide IHERN Patch","Hospital","Marion County EMS - Medical"
10255,280f,"49M-M02","D","Med 02 - Eskenazi ER Primary","Hospital","Marion County EMS - Medical"
10256,2810,"49M-M03","D","Med 03 - IU Health Methodist ER Primary","Hospital","Marion County EMS - Medical"
10257,2811,"49M-M04","D","Med 04 - Community East ER Primary","Hospital","Marion County EMS - Medical"
10258,2812,"49M-M05","D","Med 05 - IU Health Riley Children's  ER Primary","Hospital","Marion County EMS - Medical"
10259,2813,"49M-M06","D","Med 06 - St. Vincent's - 86th Street ER Primary","Hospital","Marion County EMS - Medical"
10260,2814,"49M-M07","D","Med 07 - St. Vincent's - Castleton","Hospital","Marion County EMS - Medical"
10261,2815,"49M-M08","D","Med 08 - Community North ER Primary","Hospital","Marion County EMS - Medical"
10262,2816,"49M-M09","D","Med 09 - Community South ER Primary","Hospital","Marion County EMS - Medical"
10263,2817,"49M-M10","D","Med 10 - Community Westview Hospital ER Primary","Hospital","Marion County EMS - Medical"
10264,2818,"49M-M11","D","Med 11 - IU Health University ER Primary","Hospital","Marion County EMS - Medical"
10265,2819,"49M-M12","D","Med 12 - St. Vincent's - Peyton Manning Children's Hospital ER Primary","Hospital","Marion County EMS - Medical"
10266,281a,"49M-M13","D","Med 13 - Franciscan Health South ER Primary","Hospital","Marion County EMS - Medical"
10267,281b,"49M-M14","D","Med 14 - IU Health North ER Primary","Hospital","Marion County EMS - Medical"
10268,281c,"49M-M15","D","Med 15 - Franciscan Health ER Primary","Hospital","Marion County EMS - Medical"
10269,281d,"49M-M16","D","Med 16 - Community Heart and Vascular Hospital ER Primary","Hospital","Marion County EMS - Medical"
10270,281e,"49M-M17","D","Med 17 - Veteran's Administration Medical Center ER Primary","Hospital","Marion County EMS - Medical"
10271,281f,"49M-M18","D","Med 18 - Hendricks Regional Hospital ER Primary (Also on SAFE-T 32M-HRH)","Hospital","Marion County EMS - Medical"
10272,2820,"49M-M19","D","Med 19 - St. Vincent's - Carmel ER Primary (Also on S3 29-MED 306)","Hospital","Marion County EMS - Medical"
10273,2821,"49M-M20","D","Med 20 - Spare","Hospital","Marion County EMS - Medical"
10279,2827,"49F-INVEST","De","Special Investigations","Fire-Tac","Marion County Fire/EMS"
10302,283e,"MCS-CTL","D","Control","Law Dispatch","Marion County Sheriff's Department"
10303,283f,"MCS-WAR","DE","Warrants Division ","Law Tac","Marion County Sheriff's Department"
10304,2840,"MCS-APC","D","Sheriff: CCB Prisoner Intake Processing (Formerly Arrestee Processing Center)","Corrections","Marion County Sheriff's Department"
10305,2841,"MCS-CCB","D","City/County Building Security","Law Tac","Marion County Sheriff's Department"
10306,2842,"MCS-CRT","D","Courts Security/Bailiffs","Law Tac","Marion County Sheriff's Department"
10307,2843,"MCS-CIV","D","Civil Division","Law Tac","Marion County Sheriff's Department"
10308,2844,"MCS-JOP","D","CJC Adult Detention: Control","Corrections","Marion County Sheriff's Department"
10309,2845,"MCS-LOP","D","CJC Adult Detention: Operations 1","Corrections","Marion County Sheriff's Department"
10310,2846,"MCS-JUV","D","CJC Juvenile Detention Operations ","Corrections","Marion County Sheriff's Department"
10311,2847,"MCS-CCA","De","CJC Adult Detention: Operations 2","Corrections","Marion County Sheriff's Department"
10312,2848,"MCS-MED","D","CJC Non-Emergency Medical Transport","Corrections","Marion County Sheriff's Department"
10313,2849,"MCS-CMND","DE","Special Operations: Command","Law Tac","Marion County Sheriff's Department"
10314,284a,"MCS-OPS1","DE","Special Operations 1","Law Tac","Marion County Sheriff's Department"
10315,284b,"MCS-OPS2","DE","Special Operations 2","Law Tac","Marion County Sheriff's Department"
10316,284c,"MCS-OPS3","DE","Special Operations 3","Law Tac","Marion County Sheriff's Department"
10402,28a2,"49F-LFD-DSP","D","Fire: Dispatch","Fire Dispatch","Lawrence"
10403,28a3,"49F-LFD-EMS","D","EMS: Operations","EMS Dispatch","Lawrence"
10404,28a4,"49F-LFD-OPS1","D","Fire: Operations 1","Fire-Tac","Lawrence"
10407,28a7,"49F-LFD-ADM","D","Fire: Administration","Fire-Talk","Lawrence"
10408,28a8,"49F-LFD-SOPS","D","Fire: Special Operations","Fire-Tac","Lawrence"
10409,28a9,"49F-LFD-TRAIN ","D","Fire: Training","Fire-Talk","Lawrence"
10410,28aa,"49F-LFD-FIRE","D","Fire: Control","Fire-Tac","Lawrence"
10452,28d4,"LPD-DSP","D","Police: Dispatch","Law Dispatch","Lawrence"
10453,28d5,"LPD-TAC","D","Police: Tactical","Law Tac","Lawrence"
10454,28d6,"LPD-INV","De","Police: Investigations","Law Tac","Lawrence"
10455,28d7,"LPD-TRN","D","Police: Training","Law Talk","Lawrence"
10456,28d8,"LPD-ADM","D","Police: Administration","Law Talk","Lawrence"
10457,28d9,"LPD-OPS","DE","Police: Special Operations","Law Tac","Lawrence"
10553,2939,"FHS SEC IND","D","Franciscan Health System Security (Indianapolis Base)","Security","Marion County Hospital Security"
10602,296a,"SPD-DISP","D","Police: Dispatch","Law Dispatch","Speedway"
10603,296b,"SPD-CAR 1","D","Police: Car-to-Car 1","Law Tac","Speedway"
10604,296c,"SPD-CAR 2","D","Police: Car-to-Car 2","Law Tac","Speedway"
10605,296d,"SPD-OPS","DE","Police: Tactical ","Law Tac","Speedway"
10606,296e,"SPD-LESS","D","Police: Supervisory","Law Talk","Speedway"
10607,296f,"SPD-ADM","D","Police: Administration","Law Talk","Speedway"
10652,299c,"49F-SFD","D","Fire: Operations","Fire-Tac","Speedway"
10702,29ce,"AFD-DSP","D","Fire: Dispatch","Fire Dispatch","Indianapolis Airport Authority"
10703,29cf,"AFD-OP 91","D","Fire: Operations 91","Fire-Tac","Indianapolis Airport Authority"
10704,29d0,"AFD-OP 92","D","Fire: Operations 92","Fire-Tac","Indianapolis Airport Authority"
10705,29d1,"AFD-OP 93","D","Fire: Operations 93","Fire-Tac","Indianapolis Airport Authority"
10706,29d2,"AFD-OP 94","D","Fire: Operations 94","Fire-Tac","Indianapolis Airport Authority"
10707,29d3,"AFD-CC","D","Fire: Car-to-Car","Fire-Talk","Indianapolis Airport Authority"
10708,29d4,"AFD-TRN","D","Fire: Training","Fire-Talk","Indianapolis Airport Authority"
10709,29d5,"AFD-ADM","D","Fire: Admin","Fire-Talk","Indianapolis Airport Authority"
10752,2a00,"APD-DSP","D","Police: Dispatch","Law Dispatch","Indianapolis Airport Authority"
10753,2a01,"APD-CC","D","Police: Car-to-Car","Law Talk","Indianapolis Airport Authority"
10754,2a02,"APD-DT1","D","Police: Detail","Law Talk","Indianapolis Airport Authority"
10755,2a03,"APD-OP1","D","Police: Tactical","Law Tac","Indianapolis Airport Authority"
10756,2a04,"APD-OP2","D","Police: Traffic Enforcement","Law Tac","Indianapolis Airport Authority"
10757,2a05,"APD-OP3","De","Police: Special Operations","Law Tac","Indianapolis Airport Authority"
10758,2a06,"APD-TRN","D","Police: Training","Law Talk","Indianapolis Airport Authority"
10802,2a32,"IPS-PD-DISP","D","Dispatch","Law Dispatch","Indianapolis Public Schools Police"
10803,2a33,"IPS-PD-CAHS Tac","D","Crispus Attucks High School Tactical ","Law Tac","Indianapolis Public Schools Police"
10804,2a34,"IPS-PD-ARNG Tac","D","Arlington High School Tactical","Law Tac","Indianapolis Public Schools Police"
10805,2a35,"IPS-PD-ATHS Tac","D","Arsenal Tech High School Tactical","Law Tac","Indianapolis Public Schools Police"
10806,2a36,"IPS-PD-SCHOOL 4","D","School Tactical 4","Law Talk","Indianapolis Public Schools Police"
10807,2a37,"IPS-PD-GWHS Tac","D","George Washington High School Tactical","Law Tac","Indianapolis Public Schools Police"
10808,2a38,"IPS-PD-NW","D","School Tactical 6","Law Tac","Indianapolis Public Schools Police"
10852,2a64,"IUP-DSP1","D","Indiana University Police: Dispatch 1","Law Dispatch","Colleges/Universities"
10853,2a65,"IU PD TAC","D","Indiana University Police: Tactical","Deprecated","Colleges/Universities"
10853,2a65,"IUP-DSP2","D","Indiana University Police: Dispatch 2 (Patched to IUPD Statewide 1)","Law Dispatch","Colleges/Universities"
10854,2a66,"IUP-DSP3","D","Indiana University Police: Dispatch 3 (Patched to IUPD Statewide 2)","Law Dispatch","Colleges/Universities"
10855,2a67,"IUP-EMG","D","Indiana University Police: Emergency Operations 1","Law Tac","Colleges/Universities"
10856,2a68,"IUP-ESH","D","Indiana University Police: Emergency Operations 2","Law Tac","Colleges/Universities"
10902,2a96,"ESK-DSP","D","Eskenazi Security: Dispatch","Law Dispatch","Marion County Hospital Security"
10903,2a97,"ESK-OP1","D","Eskenazi Security: Operations","Law Tac","Marion County Hospital Security"
10904,2a98,"ESK-ADM","D","Eskenazi Security: Administration","Law Tac","Marion County Hospital Security"
11052,2b2c,"IUH Police B/U","D","(BACKUP) Indiana University Health - Police: Dispatch*","Law Dispatch","Marion County Hospital Security"
11053,2b2d,"IUH-TAC","D","(BACKUP) Indiana University Health Police: Tactical/Car-to-Car 1","Law Tac","Marion County Hospital Security"
11054,2b2e,"IUH PD OPS 2","D","(BACKUP) Indiana University Health Police: Tactical/Car-to-Car 2","Law Tac","Marion County Hospital Security"
11102,2b5e,"EM-MGT","D","Emergency Management Operations","Emergency Ops","Marion County Department of Homeland Security"
11152,2b90,"IACC-DISP","D","Dispatch","Public Works","Indianapolis Animal Care and Control"
11153,2b91,"IACC-TAC","D","Tactical","Public Works","Indianapolis Animal Care and Control"
11202,2bc2,"Marian Univ PD","D","Marian University Police: Dispatch [MARIAN PD]","Law Dispatch","Colleges/Universities"
11252,2bf4,"UOI-DSP","D","University of Indianapolis Police: Dispatch [UOI-DSP]","Law Dispatch","Colleges/Universities"
11302,2c26,"MCCC-HD","D","Home Detention Units","Corrections","Marion County Community Corrections"
11303,2c27,"MCCC-WR","D","Work Release Program","Corrections","Marion County Community Corrections"
11304,2c28,"MCCC-ADMIN","D","Admin","Corrections","Marion County Community Corrections"
11305,2c29,"MCCC-EM TECH","D","Electronic Monitoring Technicians","Corrections","Marion County Community Corrections"
11306,2c2a,"MCCC-11306","D","Operations 306","Corrections","Marion County Community Corrections"
11307,2c2b,"MCCC-11307","D","Operations 307","Corrections","Marion County Community Corrections"
11502,2cee,"PSC CALL","D","Calling","Interop","Systemwide Interoperability"
11503,2cef,"PSC MA 1","D","Mutual Aid 1","Interop","Systemwide Interoperability"
11504,2cf0,"PSC MA 2","D","Mutual Aid 2","Interop","Systemwide Interoperability"
11505,2cf1,"PSC MA 3","D","Mutual Aid 3","Interop","Systemwide Interoperability"
11506,2cf2,"PSC MA 4","D","Mutual Aid 4","Interop","Systemwide Interoperability"
11507,2cf3,"PSC MA 5","D","Mutual Aid 5","Interop","Systemwide Interoperability"
11552,2d20,"Butler Univ PD","D","Butler University Police: Dispatch [BUTLER PD]","Law Dispatch","Colleges/Universities"
11553,2d21,"ButlerUnivPD Tac","D","Butler University Campus Police: Tactical/Special Events [BUPD-TAC]","Law Tac","Colleges/Universities"
11602,2d52,"MCCS JUV-DSP","D","Juvenile Detention Control [JUV-DSP]","Corrections","Marion County Community Corrections"
11652,2d84,"MCPHD-SEC","D","Health Department Security: Dispatch","Security","Marion County Hospital Security"
13016,32d8,"S1-T16","DE","System 1 Tactical 16","Law Tac","System 1 Tactical"
13017,32d9,"S1-T17","DE","System 1 Tactical 17","Law Tac","System 1 Tactical"
13018,32da,"S1-T18","DE","System 1 Tactical 18","Law Tac","System 1 Tactical"
13019,32db,"S1-T19","DE","System 1 Tactical 19","Law Tac","System 1 Tactical"
13020,32dc,"S1-T20","DE","System 1 Tactical 20","Law Tac","System 1 Tactical"
20001,4e21,"S2-TECH 1","D","System 2 Tech 1","Public Works","System 2 Radio Maintenence - Marion County"
20002,4e22,"S2-TECH 2","D","System 2 Tech 2","Public Works","System 2 Radio Maintenence - Marion County"
20003,4e23,"S2-TECH 3","D","System 2 Tech 3","Public Works","System 2 Radio Maintenence - Marion County"
20004,4e24,"S2-TECH 4","D","System 2 Tech 4","Public Works","System 2 Radio Maintenence - Marion County"
20005,4e25,"S2-TECH 5","D","System 2 Tech 5","Public Works","System 2 Radio Maintenence - Marion County"
20006,4e26,"S2-TECH 6","D","System 2 Tech 6","Public Works","System 2 Radio Maintenence - Marion County"
20007,4e27,"S2-TECH 7","D","System  2 Tech 7","Public Works","System 2 Radio Maintenence - Marion County"
20008,4e28,"S2-TECH 8","D","System 2 Tech 8","Public Works","System 2 Radio Maintenence - Marion County"
20009,4e29,"S2-TECH 9","D","System 2 Tech 9","Public Works","System 2 Radio Maintenence - Marion County"
20010,4e2a,"S2-TECH 10","D","System 2 Tech 10","Public Works","System 2 Radio Maintenence - Marion County"
20011,4e2b,"S2-TECH 11","D","System 2 Tech 11","Public Works","System 2 Radio Maintenence - Marion County"
20012,4e2c,"S2-T01","D","System 2 Tactical 01","Multi-Tac","System 2 Tactical"
20013,4e2d,"S2-T02","D","System 2 Tactical 02","Multi-Tac","System 2 Tactical"
20014,4e2e,"S2-T03","D","System 2 Tactical 03","Multi-Tac","System 2 Tactical"
20015,4e2f,"S2-T04","D","System 2 Tactical 04","Multi-Tac","System 2 Tactical"
20016,4e30,"S2-T05","D","System 2 Tactical 05","Multi-Tac","System 2 Tactical"
20017,4e31,"S2-T06","D","System 2 Tactical 06","Multi-Tac","System 2 Tactical"
20018,4e32,"S2-T07","D","System 2 Tactical 07","Multi-Tac","System 2 Tactical"
20019,4e33,"S2-T08","D","System 2 Tactical 08","Multi-Tac","System 2 Tactical"
20020,4e34,"S2-T09","D","System 2 Tactical 09","Multi-Tac","System 2 Tactical"
20021,4e35,"S2-T10","D","System 2 Tactical 10","Multi-Tac","System 2 Tactical"
20022,4e36,"S2-T11","D","System 2 Tactical 11","Multi-Tac","System 2 Tactical"
20023,4e37,"S2-T12","D","System 2 Tactical 12","Multi-Tac","System 2 Tactical"
20024,4e38,"S2-T13","D","System 2 Tactical 13","Multi-Tac","System 2 Tactical"
20025,4e39,"S2-T14","D","System 2 Tactical 14","Multi-Tac","System 2 Tactical"
20026,4e3a,"S2-T15","D","System 2 Tactical 15","Multi-Tac","System 2 Tactical"
20035,4e43,"ELECTION-1","D","Operations 1 (Board of Elections)","Public Works","Marion County - Miscellaneous"
20036,4e44,"ELECTION-2","D","Operations 2 (Board of Elections)","Public Works","Marion County - Miscellaneous"
20102,4e86,"DPW-DSP-01","D","Dispatch 1","Public Works","Indianapolis Public Works - Operations"
20103,4e87,"DPW-DSP-02","D","Dispatch 2","Public Works","Indianapolis Public Works - Operations"
20104,4e88,"DPW-OPS-01","D","Operations 1","Public Works","Indianapolis Public Works - Operations"
20105,4e89,"DPW-OPS-02","D","Operations 2","Public Works","Indianapolis Public Works - Operations"
20106,4e8a,"DPW-OPS-03","D","Operations 3","Public Works","Indianapolis Public Works - Operations"
20107,4e8b,"DPW-OPS-04","D","Operations 4","Public Works","Indianapolis Public Works - Operations"
20108,4e8c,"DPW-OPS-05","D","Operations 5","Public Works","Indianapolis Public Works - Operations"
20109,4e8d,"DPW-OPS-06","D","Operations 6","Public Works","Indianapolis Public Works - Operations"
20110,4e8e,"DPW-OPS-07","D","Operations 7","Public Works","Indianapolis Public Works - Operations"
20111,4e8f,"DPW-OPS-08","D","Operations 8","Public Works","Indianapolis Public Works - Operations"
20112,4e90,"DPW FLEET SVCS","D","Fleet Services","Public Works","Indianapolis Public Works - Streets"
20113,4e91,"DPW-OPS-10","D","Operations 10","Public Works","Indianapolis Public Works - Operations"
20114,4e92,"DPW-OPS-11","D","Operations 11","Public Works","Indianapolis Public Works - Operations"
20115,4e93,"DPW-STREET OPS","D","Street Repair / Operations","Public Works","Indianapolis Public Works - Streets"
20116,4e94,"DPW CMD NW","D","Streets/Snow Command - District 1 (NW)","Public Works","Indianapolis Public Works - Streets"
20117,4e95,"DPW CMD NE","D","Streets/Snow Command - District 2 (NE)","Public Works","Indianapolis Public Works - Streets"
20118,4e96,"DPW CMD S","D","Streets/Snow Command - District 3 (S)","Public Works","Indianapolis Public Works - Streets"
20119,4e97,"STREET-OP3","D","Operations 3 / Snow Force Operations 3 / Spec Event Cleanup","Public Works","Indianapolis Public Works - Streets"
20120,4e98,"DPW TRAF OPS","D","Operations 4 / IDPW Traffic Operations","Public Works","Indianapolis Public Works - Streets"
20121,4e99,"STREET-OP5","D","Operations 5","Public Works","Indianapolis Public Works - Streets"
